occurs_at;headline;headline_initial;sub_category_id;Rating;source;valid;description;sub_category_name;month;source_url
21/03/2017;Fête nationale de la Namibie;;45;2;Wikipedia;;;Fêtes étrangères;3;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-139
22/03/2017;Salon des Solutions Électroniques 2017;Salon des Solutions Électroniques 2017;14;3;Agence360;;;High-tech;3;excel
22/03/2017;21e Pavillon des Arts et du Design;21e Pavillon des Arts et du Design;1;3;Agence360;;;Beaux-arts;3;excel
22/03/2017;E-Commerce One-to-One Monaco;E-Commerce One-to-One Monaco;14;2;Agence360;;;High-tech;3;excel
22/03/2017;Le casque désormais obligatoire pour les enfants de moins de 12 ans à vélo;Vélo : le casque désormais obligatoire pour les enfants de moins de 12 ans;20;4;Agence360;;;Transport;3;excel
22/03/2017;Journée mondiale de l'eau;Journée mondiale de l'eau (A/RES/47/193);23;3;ONU;;;Environnement;3;
22/03/2017;Procès de Boris Boillon pour blanchiment de fraude fiscale;Le 23/03 - Procès de Boris Boillon pour blanchiment de fraude fiscale - Tribunal correctionnel - Paris;26;4;PJ;;;Justice;3;http://www.pressejudiciaire.fr/10.html
22/03/2017;Décision sur les délais de jugement excessifs aux prud'hommes de Meaux;Le 22/03 - Décision sur les délais de jugement excessifs aux prud'hommes de Meaux - Tribunal d'instance - Meaux;26;3;PJ;;;Justice;3;http://www.pressejudiciaire.fr/10.html
22/03/2017;Tournois masculin (Masters 1000) et féminin de Miami;Tournoi masculin de  Miami Open presented by Itaú, Miami - Masters 1000;39;4;Wikipedia;;;Tennis;3;Tournoi de Miami Open presented by Itaú, Miami sur Dur (ext.)d'une dotation de 6 993 450 $
23/03/2017;Salon mondial de l'horlogerie et de la bijouterie (Baselworld 2017);Salon mondial de l'horlogerie et de la bijouterie (Baselworld 2017);27;2;Agence360;;;Lifestyle;3;excel
23/03/2017;Art Basel in Asia;Art Basel in Asia;1;2;Agence360;;;Beaux-arts;3;excel
23/03/2017;Sortie du jeu vidéo 'Mass Effect : Andromeda' (Electronic Arts);Sortie du jeu vidéo 'Mass Effect : Andromeda' (Electronic Arts);5;2;Agence360;;;Jeux-vidéos;3;excel
23/03/2017;Journée météorologique mondiale;Journée météorologique mondiale [OMM] WMO/EC-XII/Res.6;23;2;ONU;;;Environnement;3;
23/03/2017;Procès de 3 employés de l'abattoir du Vigan pour mauvais traitement sur animaux;Les 23 et 24/03 - Procès de 3 employés de l'abattoir du Vigan pour mauvais traitement sur animaux - Tribunal correctionnel - Alès;26;4;PJ;;;Justice;3;http://www.pressejudiciaire.fr/10.html
